attack_name,attack_param,image_file,accuracy,ber
brightness,0.5,0149.png,1.0,0.0
brightness,0.5,0150.png,1.0,0.0
brightness,0.5,0151.png,1.0,0.0
brightness,0.5,0152.png,1.0,0.0
brightness,0.5,0153.png,0.9921875,0.0078125
brightness,0.5,0154.png,1.0,0.0
brightness,0.5,0155.png,1.0,0.0
brightness,0.5,0156.png,1.0,0.0
brightness,0.5,0157.png,1.0,0.0
brightness,0.5,0158.png,1.0,0.0
brightness,0.5,0159.png,1.0,0.0
brightness,0.5,0160.png,1.0,0.0
brightness,0.5,0161.png,1.0,0.0
brightness,0.5,0162.png,1.0,0.0
brightness,0.5,0163.png,1.0,0.0
brightness,0.5,0164.png,1.0,0.0
brightness,0.5,0165.png,1.0,0.0
brightness,0.5,0166.png,1.0,0.0
brightness,0.5,0167.png,1.0,0.0
brightness,0.5,0168.png,1.0,0.0
brightness,0.5,0169.png,1.0,0.0
brightness,0.5,0170.png,1.0,0.0
brightness,0.5,0171.png,1.0,0.0
brightness,0.5,0172.png,0.99609375,0.00390625
brightness,0.5,0173.png,1.0,0.0
brightness,0.5,0174.png,1.0,0.0
brightness,0.5,0175.png,1.0,0.0
brightness,0.5,0176.png,1.0,0.0
brightness,0.5,0177.png,1.0,0.0
brightness,0.5,0178.png,1.0,0.0
brightness,0.5,0179.png,1.0,0.0
brightness,0.5,0180.png,1.0,0.0
brightness,0.5,0181.png,1.0,0.0
brightness,0.5,0182.png,1.0,0.0
brightness,0.5,0183.png,1.0,0.0
brightness,0.5,0184.png,1.0,0.0
brightness,0.5,0185.png,1.0,0.0
brightness,0.5,0186.png,1.0,0.0
brightness,0.5,0187.png,1.0,0.0
brightness,0.5,0188.png,1.0,0.0
brightness,0.5,0189.png,1.0,0.0
brightness,0.5,0190.png,1.0,0.0
brightness,0.5,0191.png,1.0,0.0
brightness,0.5,0192.png,1.0,0.0
brightness,0.5,0193.png,1.0,0.0
brightness,0.5,0194.png,1.0,0.0
brightness,0.5,0195.png,1.0,0.0
brightness,0.5,0196.png,1.0,0.0
brightness,0.5,0197.png,1.0,0.0
brightness,0.5,0198.png,1.0,0.0
brightness,0.5,0199.png,1.0,0.0
brightness,2.0,0000.png,1.0,0.0
brightness,2.0,0001.png,1.0,0.0
brightness,2.0,0002.png,1.0,0.0
brightness,2.0,0003.png,1.0,0.0
brightness,2.0,0004.png,0.99609375,0.00390625
brightness,2.0,0005.png,1.0,0.0
brightness,2.0,0006.png,1.0,0.0
brightness,2.0,0007.png,1.0,0.0
brightness,2.0,0008.png,1.0,0.0
brightness,2.0,0009.png,1.0,0.0
brightness,2.0,0010.png,1.0,0.0
brightness,2.0,0011.png,1.0,0.0
brightness,2.0,0012.png,1.0,0.0
brightness,2.0,0013.png,1.0,0.0
brightness,2.0,0014.png,1.0,0.0
brightness,2.0,0015.png,1.0,0.0
brightness,2.0,0016.png,1.0,0.0
brightness,2.0,0017.png,1.0,0.0
brightness,2.0,0018.png,1.0,0.0
brightness,2.0,0019.png,1.0,0.0
brightness,2.0,0020.png,1.0,0.0
brightness,2.0,0021.png,1.0,0.0
brightness,2.0,0022.png,1.0,0.0
brightness,2.0,0023.png,1.0,0.0
brightness,2.0,0024.png,0.96875,0.03125
brightness,2.0,0025.png,1.0,0.0
brightness,2.0,0026.png,1.0,0.0
brightness,2.0,0027.png,1.0,0.0
brightness,2.0,0028.png,1.0,0.0
brightness,2.0,0029.png,1.0,0.0
brightness,2.0,0030.png,0.73828125,0.26171875
brightness,2.0,0031.png,1.0,0.0
brightness,2.0,0032.png,1.0,0.0
brightness,2.0,0033.png,1.0,0.0
brightness,2.0,0034.png,1.0,0.0
brightness,2.0,0035.png,1.0,0.0
brightness,2.0,0036.png,1.0,0.0
brightness,2.0,0037.png,1.0,0.0
brightness,2.0,0038.png,1.0,0.0
brightness,2.0,0039.png,1.0,0.0
brightness,2.0,0040.png,1.0,0.0
brightness,2.0,0041.png,1.0,0.0
brightness,2.0,0042.png,1.0,0.0
brightness,2.0,0043.png,1.0,0.0
brightness,2.0,0044.png,1.0,0.0
brightness,2.0,0045.png,1.0,0.0
brightness,2.0,0046.png,0.97265625,0.02734375
brightness,2.0,0047.png,1.0,0.0
brightness,2.0,0048.png,1.0,0.0
brightness,2.0,0049.png,1.0,0.0
brightness,2.0,0050.png,1.0,0.0
brightness,2.0,0051.png,0.9921875,0.0078125
brightness,2.0,0052.png,1.0,0.0
brightness,2.0,0053.png,0.984375,0.015625
brightness,2.0,0054.png,1.0,0.0
brightness,2.0,0055.png,1.0,0.0
brightness,2.0,0056.png,1.0,0.0
brightness,2.0,0057.png,1.0,0.0
brightness,2.0,0058.png,1.0,0.0
brightness,2.0,0059.png,1.0,0.0
brightness,2.0,0060.png,1.0,0.0
brightness,2.0,0061.png,1.0,0.0
brightness,2.0,0062.png,1.0,0.0
brightness,2.0,0063.png,1.0,0.0
brightness,2.0,0064.png,1.0,0.0
brightness,2.0,0065.png,1.0,0.0
brightness,2.0,0066.png,1.0,0.0
brightness,2.0,0067.png,1.0,0.0
brightness,2.0,0068.png,1.0,0.0
brightness,2.0,0069.png,1.0,0.0
brightness,2.0,0070.png,1.0,0.0
brightness,2.0,0071.png,1.0,0.0
brightness,2.0,0072.png,1.0,0.0
brightness,2.0,0073.png,1.0,0.0
brightness,2.0,0074.png,1.0,0.0
brightness,2.0,0075.png,1.0,0.0
brightness,2.0,0076.png,1.0,0.0
brightness,2.0,0077.png,1.0,0.0
brightness,2.0,0078.png,1.0,0.0
brightness,2.0,0079.png,1.0,0.0
brightness,2.0,0080.png,0.99609375,0.00390625
brightness,2.0,0081.png,1.0,0.0
brightness,2.0,0082.png,1.0,0.0
brightness,2.0,0083.png,1.0,0.0
brightness,2.0,0084.png,0.99609375,0.00390625
brightness,2.0,0085.png,0.99609375,0.00390625
brightness,2.0,0086.png,0.99609375,0.00390625
brightness,2.0,0087.png,1.0,0.0
brightness,2.0,0088.png,1.0,0.0
brightness,2.0,0089.png,1.0,0.0
brightness,2.0,0090.png,1.0,0.0
brightness,2.0,0091.png,1.0,0.0
brightness,2.0,0092.png,1.0,0.0
brightness,2.0,0093.png,1.0,0.0
brightness,2.0,0094.png,1.0,0.0
brightness,2.0,0095.png,1.0,0.0
brightness,2.0,0096.png,1.0,0.0
brightness,2.0,0097.png,0.99609375,0.00390625
brightness,2.0,0098.png,1.0,0.0
brightness,2.0,0099.png,1.0,0.0
brightness,2.0,0100.png,1.0,0.0
brightness,2.0,0101.png,1.0,0.0
brightness,2.0,0102.png,1.0,0.0
brightness,2.0,0103.png,1.0,0.0
brightness,2.0,0104.png,1.0,0.0
brightness,2.0,0105.png,1.0,0.0
brightness,2.0,0106.png,1.0,0.0
brightness,2.0,0107.png,1.0,0.0
brightness,2.0,0108.png,1.0,0.0
brightness,2.0,0109.png,1.0,0.0
brightness,2.0,0110.png,1.0,0.0
brightness,2.0,0111.png,1.0,0.0
brightness,2.0,0112.png,1.0,0.0
brightness,2.0,0113.png,1.0,0.0
brightness,2.0,0114.png,1.0,0.0
brightness,2.0,0115.png,1.0,0.0
brightness,2.0,0116.png,1.0,0.0
brightness,2.0,0117.png,1.0,0.0
brightness,2.0,0118.png,1.0,0.0
brightness,2.0,0119.png,1.0,0.0
brightness,2.0,0120.png,1.0,0.0
brightness,2.0,0121.png,1.0,0.0
brightness,2.0,0122.png,1.0,0.0
brightness,2.0,0123.png,1.0,0.0
brightness,2.0,0124.png,1.0,0.0
brightness,2.0,0125.png,1.0,0.0
brightness,2.0,0126.png,1.0,0.0
brightness,2.0,0127.png,0.99609375,0.00390625
brightness,2.0,0128.png,1.0,0.0
brightness,2.0,0129.png,1.0,0.0
brightness,2.0,0130.png,1.0,0.0
brightness,2.0,0131.png,1.0,0.0
brightness,2.0,0132.png,1.0,0.0
brightness,2.0,0133.png,1.0,0.0
brightness,2.0,0134.png,0.9375,0.0625
brightness,2.0,0135.png,1.0,0.0
brightness,2.0,0136.png,1.0,0.0
brightness,2.0,0137.png,1.0,0.0
brightness,2.0,0138.png,1.0,0.0
brightness,2.0,0139.png,1.0,0.0
brightness,2.0,0140.png,1.0,0.0
brightness,2.0,0141.png,1.0,0.0
brightness,2.0,0142.png,1.0,0.0
brightness,2.0,0143.png,1.0,0.0
brightness,2.0,0144.png,1.0,0.0
brightness,2.0,0145.png,1.0,0.0
brightness,2.0,0146.png,1.0,0.0
brightness,2.0,0147.png,1.0,0.0
brightness,2.0,0148.png,1.0,0.0
brightness,2.0,0149.png,1.0,0.0
brightness,2.0,0150.png,1.0,0.0
brightness,2.0,0151.png,1.0,0.0
brightness,2.0,0152.png,1.0,0.0
brightness,2.0,0153.png,0.9921875,0.0078125
brightness,2.0,0154.png,1.0,0.0
brightness,2.0,0155.png,1.0,0.0
brightness,2.0,0156.png,1.0,0.0
brightness,2.0,0157.png,1.0,0.0
brightness,2.0,0158.png,0.9921875,0.0078125
brightness,2.0,0159.png,1.0,0.0
brightness,2.0,0160.png,1.0,0.0
brightness,2.0,0161.png,1.0,0.0
brightness,2.0,0162.png,1.0,0.0
brightness,2.0,0163.png,1.0,0.0
brightness,2.0,0164.png,1.0,0.0
brightness,2.0,0165.png,1.0,0.0
brightness,2.0,0166.png,1.0,0.0
brightness,2.0,0167.png,1.0,0.0
brightness,2.0,0168.png,1.0,0.0
brightness,2.0,0169.png,1.0,0.0
brightness,2.0,0170.png,1.0,0.0
brightness,2.0,0171.png,1.0,0.0
brightness,2.0,0172.png,0.9921875,0.0078125
brightness,2.0,0173.png,1.0,0.0
brightness,2.0,0174.png,1.0,0.0
brightness,2.0,0175.png,1.0,0.0
brightness,2.0,0176.png,1.0,0.0
brightness,2.0,0177.png,1.0,0.0
brightness,2.0,0178.png,1.0,0.0
brightness,2.0,0179.png,0.99609375,0.00390625
brightness,2.0,0180.png,1.0,0.0
brightness,2.0,0181.png,1.0,0.0
brightness,2.0,0182.png,1.0,0.0
brightness,2.0,0183.png,1.0,0.0
brightness,2.0,0184.png,1.0,0.0
brightness,2.0,0185.png,1.0,0.0
brightness,2.0,0186.png,1.0,0.0
brightness,2.0,0187.png,1.0,0.0
brightness,2.0,0188.png,1.0,0.0
brightness,2.0,0189.png,1.0,0.0
brightness,2.0,0190.png,1.0,0.0
brightness,2.0,0191.png,1.0,0.0
brightness,2.0,0192.png,1.0,0.0
brightness,2.0,0193.png,1.0,0.0
brightness,2.0,0194.png,1.0,0.0
brightness,2.0,0195.png,1.0,0.0
brightness,2.0,0196.png,1.0,0.0
brightness,2.0,0197.png,1.0,0.0
brightness,2.0,0198.png,1.0,0.0
brightness,2.0,0199.png,1.0,0.0
crop,0.8,0000.png,0.53125,0.46875
crop,0.8,0001.png,0.515625,0.484375
crop,0.8,0002.png,0.4765625,0.5234375
crop,0.8,0003.png,0.50390625,0.49609375
crop,0.8,0004.png,0.5,0.5
crop,0.8,0005.png,0.51953125,0.48046875
crop,0.8,0006.png,0.5078125,0.4921875
crop,0.8,0007.png,0.50390625,0.49609375
crop,0.8,0008.png,0.52734375,0.47265625
crop,0.8,0009.png,0.53515625,0.46484375
crop,0.8,0010.png,0.515625,0.484375
crop,0.8,0011.png,0.51953125,0.48046875
crop,0.8,0012.png,0.53125,0.46875
crop,0.8,0013.png,0.51953125,0.48046875
crop,0.8,0014.png,0.57421875,0.42578125
crop,0.8,0015.png,0.46875,0.53125
crop,0.8,0016.png,0.48046875,0.51953125
crop,0.8,0017.png,0.48046875,0.51953125
crop,0.8,0018.png,0.54296875,0.45703125
crop,0.8,0019.png,0.50390625,0.49609375
crop,0.8,0020.png,0.55078125,0.44921875
crop,0.8,0021.png,0.47265625,0.52734375
crop,0.8,0022.png,0.51171875,0.48828125
crop,0.8,0023.png,0.59375,0.40625
crop,0.8,0024.png,0.58203125,0.41796875
crop,0.8,0025.png,0.5,0.5
crop,0.8,0026.png,0.46875,0.53125
crop,0.8,0027.png,0.51171875,0.48828125
crop,0.8,0028.png,0.57421875,0.42578125
crop,0.8,0029.png,0.53515625,0.46484375
crop,0.8,0030.png,0.5390625,0.4609375
crop,0.8,0031.png,0.5234375,0.4765625
crop,0.8,0032.png,0.5390625,0.4609375
crop,0.8,0033.png,0.50390625,0.49609375
crop,0.8,0034.png,0.55078125,0.44921875
crop,0.8,0035.png,0.52734375,0.47265625
crop,0.8,0036.png,0.5234375,0.4765625
crop,0.8,0037.png,0.5078125,0.4921875
crop,0.8,0038.png,0.48828125,0.51171875
crop,0.8,0039.png,0.546875,0.453125
crop,0.8,0040.png,0.5703125,0.4296875
crop,0.8,0041.png,0.515625,0.484375
crop,0.8,0042.png,0.48046875,0.51953125
crop,0.8,0043.png,0.51171875,0.48828125
crop,0.8,0044.png,0.49609375,0.50390625
crop,0.8,0045.png,0.5390625,0.4609375
crop,0.8,0046.png,0.515625,0.484375
crop,0.8,0047.png,0.46484375,0.53515625
crop,0.8,0048.png,0.45703125,0.54296875
crop,0.8,0049.png,0.51171875,0.48828125
crop,0.8,0050.png,0.54296875,0.45703125
crop,0.8,0051.png,0.5,0.5
crop,0.8,0052.png,0.49609375,0.50390625
crop,0.8,0053.png,0.48828125,0.51171875
crop,0.8,0054.png,0.48046875,0.51953125
crop,0.8,0055.png,0.5078125,0.4921875
crop,0.8,0056.png,0.546875,0.453125
crop,0.8,0057.png,0.51171875,0.48828125
crop,0.8,0058.png,0.5078125,0.4921875
crop,0.8,0059.png,0.5078125,0.4921875
crop,0.8,0060.png,0.55078125,0.44921875
crop,0.8,0061.png,0.515625,0.484375
crop,0.8,0062.png,0.48828125,0.51171875
crop,0.8,0063.png,0.515625,0.484375
crop,0.8,0064.png,0.4453125,0.5546875
crop,0.8,0065.png,0.484375,0.515625
crop,0.8,0066.png,0.4609375,0.5390625
crop,0.8,0067.png,0.51171875,0.48828125
crop,0.8,0068.png,0.53515625,0.46484375
crop,0.8,0069.png,0.48046875,0.51953125
crop,0.8,0070.png,0.54296875,0.45703125
crop,0.8,0071.png,0.4921875,0.5078125
crop,0.8,0072.png,0.49609375,0.50390625
crop,0.8,0073.png,0.50390625,0.49609375
crop,0.8,0074.png,0.52734375,0.47265625
crop,0.8,0075.png,0.51953125,0.48046875
crop,0.8,0076.png,0.515625,0.484375
crop,0.8,0077.png,0.57421875,0.42578125
crop,0.8,0078.png,0.51953125,0.48046875
crop,0.8,0079.png,0.46484375,0.53515625
crop,0.8,0080.png,0.4921875,0.5078125
crop,0.8,0081.png,0.4609375,0.5390625
crop,0.8,0082.png,0.44921875,0.55078125
crop,0.8,0083.png,0.515625,0.484375
crop,0.8,0084.png,0.453125,0.546875
crop,0.8,0085.png,0.51953125,0.48046875
crop,0.8,0086.png,0.5078125,0.4921875
crop,0.8,0087.png,0.55078125,0.44921875
crop,0.8,0088.png,0.52734375,0.47265625
crop,0.8,0089.png,0.51171875,0.48828125
crop,0.8,0090.png,0.5546875,0.4453125
crop,0.8,0091.png,0.484375,0.515625
crop,0.8,0092.png,0.48828125,0.51171875
crop,0.8,0093.png,0.5078125,0.4921875
crop,0.8,0094.png,0.53515625,0.46484375
crop,0.8,0095.png,0.52734375,0.47265625
crop,0.8,0096.png,0.55078125,0.44921875
crop,0.8,0097.png,0.47265625,0.52734375
crop,0.8,0098.png,0.4921875,0.5078125
crop,0.8,0099.png,0.578125,0.421875
crop,0.8,0100.png,0.5,0.5
crop,0.8,0101.png,0.52734375,0.47265625
crop,0.8,0102.png,0.5625,0.4375
crop,0.8,0103.png,0.51953125,0.48046875
crop,0.8,0104.png,0.50390625,0.49609375
crop,0.8,0105.png,0.54296875,0.45703125
crop,0.8,0106.png,0.51953125,0.48046875
crop,0.8,0107.png,0.5859375,0.4140625
crop,0.8,0108.png,0.55859375,0.44140625
crop,0.8,0109.png,0.484375,0.515625
crop,0.8,0110.png,0.48828125,0.51171875
crop,0.8,0111.png,0.51171875,0.48828125
crop,0.8,0112.png,0.5390625,0.4609375
crop,0.8,0113.png,0.5390625,0.4609375
crop,0.8,0114.png,0.49609375,0.50390625
crop,0.8,0115.png,0.48828125,0.51171875
crop,0.8,0116.png,0.453125,0.546875
crop,0.8,0117.png,0.5234375,0.4765625
crop,0.8,0118.png,0.54296875,0.45703125
crop,0.8,0119.png,0.51953125,0.48046875
crop,0.8,0120.png,0.5390625,0.4609375
